meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M.   -- --- | damp:down section:7000 metro:q:80
  8   5  0.665 v5 s2 t=681  n5_5Cs2t_2      C#2 t    -- --o | d:ppp
  9   5  0.748 v5 s2 t=766  n5_5A2t_3       A2  t    -- --o | d:ppp
 10   5  0.831 v5 s2 t=851  n5_5Fs1t_1      F#1 t    -- --o | d:ppp
 11   5  0.914 v5 s2 t=936  n5_5Cs2t_3      C#2 t    -- --o | d:ppp
 12   5  0.997 v5 s2 t=1021 n5_5A2t_4       A2  t    -- --o | d:ppp
 13   5  1.080 v5 s2 t=1106 n5_5Cs2t_4      C#2 t    -- --o | d:ppp
 14   5  1.163 v5 s2 t=1191 n5_5Fs1s_1      F#1 s    -- --o | d:ppp
 15   5  1.330 v5 s2 t=1362 n5_5A2t_5       A2  t    -- --o | d:ppp
 16   5  1.413 v5 s2 t=1447 n5_5Cs2t_5      C#2 t    -- --o | 
 17   5  1.496 v5 s2 t=1532 n5_5A2t_6       A2  t    -- --o | 
 18   5  1.579 v5 s2 t=1617 n5_5Fs1t_2      F#1 t    -- --o | 
 19   5  1.662 v5 s2 t=1702 n5_5Cs2t_6      C#2 t    -- --o | 
 20   5  1.745 v5 s2 t=1787 n5_5A2t_7       A2  t    -- --o | 
 21   5  1.828 v5 s2 t=1872 n5_5Cs2t_7      C#2 t    -- --o | 
 22   5  1.911 v5 s2 t=1957 n5_5Fs1s_2      F#1 s    -- --o | 
 23   5  2.078 v5 s2 t=2128 n5_5A2t_8       A2  t    -- --o | 
 24   5  2.161 v5 s2 t=2213 n5_5Cs2t_8      C#2 t    -- --o | 
 25   5  2.244 v5 s2 t=2298 n5_5A2t_9       A2  t    -- --o | 
 26   5  2.327 v5 s2 t=2383 n5_5Fs1t_3      F#1 t    -- --o | 
 27   5  2.410 v5 s2 t=2468 n5_5Cs2t_9      C#2 t    -- --o | 
 28   5  2.493 v5 s2 t=2553 n5_5A2t_10      A2  t    -- --o | 
 29   5  2.576 v5 s2 t=2638 n5_5Cs2t_10     C#2 t    -- --o | 
 30   5  2.659 v5 s2 t=2723 n5_5Fs1s_3      F#1 s    -- --o | 
 31   5  2.826 v5 s2 t=2894 n5_5A2t_11      A2  t    -- --o | 
 32   5  2.909 v5 s2 t=2979 n5_5Cs2t_11     C#2 t    -- --o | 
 33   5  2.992 v5 s2 t=3064 re5_5Rs         R   s    -- --- | 
 34   5  3.000 v1 s1 t=3072 n5_1Cs5h        C#5 h    tb --o | 
 35   5  3.159 v5 s2 t=3235 n5_5Cs2t_12     C#2 t    -- --o | 
 36   5  3.242 v5 s2 t=3320 n5_5A2t_12      A2  t    -- --o | 
 37   5  3.325 v5 s2 t=3405 n5_5Cs2t_13     C#2 t    -- --o | 
 38   5  3.408 v5 s2 t=3490 n5_5Fs1s_4      F#1 s    -- --o | 
 39   5  3.575 v5 s2 t=3661 n5_5A2t_13      A2  t    -- --o | 
 40   5  3.658 v5 s2 t=3746 n5_5Cs2t_14     C#2 t    -- --o | 
 41   5  3.741 v5 s2 t=3831 n5_5A2t_14      A2  t    -- --o | 
 42   5  3.824 v5 s2 t=3916 n5_5Fs1t_4      F#1 t    -- --o | 
 43   5  3.907 v5 s2 t=4001 n5_5Cs2t_15     C#2 t    -- --o | 
 44   5  3.990 v5 s2 t=4086 n5_5A2t_15      A2  t    -- --o | 
 45   5  4.073 v5 s2 t=4171 n5_5Cs2t_16     C#2 t    -- --o | 
 46   5  4.156 v5 s2 t=4256 n5_5Fs1s_5      F#1 s    -- --o | 
 47   5  4.323 v5 s2 t=4427 n5_5A2t_16      A2  t    -- --o | 
 48   5  4.406 v5 s2 t=4512 n5_5Cs2t_17     C#2 t    -- --o | 
meas:6 6/4 ticks:4608
  0   6  0.000 v1 s1 t=0    n6_1Cs5h        C#5 h    te --- | 
  1   6  0.000 v5 s2 t=0    n6_5A2t_0       A2  t    -- --o | 
  2   6  0.083 v5 s2 t=85   n6_5Fs1t_0      F#1 t    -- --o | 
  3   6  0.166 v5 s2 t=170  n6_5Cs2t_0      C#2 t    -- --o | 
  4   6  0.249 v5 s2 t=255  n6_5A2t_1       A2  t    -- --o | 
  5   6  0.332 v5 s2 t=340  n6_5Cs2t_1      C#2 t    -- --o | 
  6   6  0.415 v5 s2 t=425  n6_5Fs1s_0      F#1 s    -- --o | 
  7   6  0.582 v5 s2 t=596  n6_5A2t_2       A2  t    -- --o | 
  8   6  0.665 v5 s2 t=681  n6_5Cs2t_2      C#2 t    -- --o | 
  9   6  0.748 v5 s2 t=766  n6_5A2t_3       A2  t    -- --o | 
 10   6  0.831 v5 s2 t=851  n6_5Fs1t_1      F#1 t    -- --o | 
 11   6  0.914 v5 s2 t=936  n6_5Cs2t_3      C#2 t    -- --o | 
 12   6  0.997 v5 s2 t=1021 n6_5A2t_4       A2  t    -- --o | 
 13   6  1.080 v5 s2 t=1106 n6_5Cs2t_4      C#2 t    -- --o | 
 14   6  1.163 v5 s2 t=1191 n6_5Fs1e        F#1 e    -- --o | 
 15   6  1.496 v5 s2 t=1532 n6_5A2t_5       A2  t    -- --o | 
 16   6  1.500 v1 s1 t=1536 n6_1C1w         C1  w    -- --o | 
 17   6  1.579 v5 s2 t=1617 n6_5Fs1t_2      F#1 t    -- --o | 
 18   6  1.662 v5 s2 t=1702 n6_5Cs2t_5      C#2 t    -- --o | 
 19   6  1.745 v5 s2 t=1787 n6_5A2t_6       A2  t    -- --o | 
 20   6  1.828 v5 s2 t=1872 n6_5Cs2t_6      C#2 t    -- --o | 
 21   6  1.911 v5 s2 t=1957 n6_5Fs1s_1      F#1 s    -- --o | 
 22   6  2.078 v5 s2 t=2128 n6_5A2t_7       A2  t    -- --o | 
 23   6  2.161 v5 s2 t=2213 n6_5Cs2t_7      C#2 t    -- --o | 
 24   6  2.244 v5 s2 t=2298 n6_5A2t_8       A2  t    -- --o | 
 25   6  2.327 v5 s2 t=2383 n6_5Fs1t_3      F#1 t    -- --o | 
 26   6  2.410 v5 s2 t=2468 n6_5Cs2t_8      C#2 t    -- --o | 
 27   6  2.493 v5 s2 t=2553 n6_5A2t_9       A2  t    -- --o | 
 28   6  2.576 v5 s2 t=2638 n6_5Cs2t_9      C#2 t    -- --o | 
 29   6  2.659 v5 s2 t=2723 n6_5Fs1s_2      F#1 s    -- --o | 
 30   6  2.826 v5 s2 t=2894 n6_5A2t_10      A2  t    -- --o | 
