meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M    -- --- | metro:q:80
 10   9  0.831 v5 s2 t=851  n9_5Fs1t_3      F#1 t    -- --o | d:ppp
 11   9  0.914 v5 s2 t=936  n9_5Cs2t_2      C#2 t    -- --o | d:ppp
 12   9  0.997 v5 s2 t=1021 n9_5Fs1t_4      F#1 t    -- --o | d:ppp
 13   9  1.080 v5 s2 t=1106 n9_5Cs2s_1      C#2 s    -- --o | d:ppp
 14   9  1.247 v5 s2 t=1277 n9_5Fs1t_5      F#1 t    -- --o | d:ppp
 15   9  1.330 v5 s2 t=1362 n9_5A2t_3       A2  t    -- --o | d:ppp
 16   9  1.413 v5 s2 t=1447 n9_5Cs2t_3      C#2 t    -- --o | d:ppp
 17   9  1.496 v5 s2 t=1532 n9_5A2t_4       A2  t    -- --o | d:ppp
 18   9  1.579 v5 s2 t=1617 n9_5Fs1t_6      F#1 t    -- --o | d:ppp
 19   9  1.662 v5 s2 t=1702 n9_5Cs2t_4      C#2 t    -- --o | d:ppp
 20   9  1.745 v5 s2 t=1787 n9_5Fs1t_7      F#1 t    -- --o | d:ppp
 21   9  1.828 v5 s2 t=1872 n9_5Cs2s_2      C#2 s    -- --o | d:ppp
 22   9  1.995 v5 s2 t=2043 n9_5Fs1t_8      F#1 t    -- --o | d:ppp
 23   9  2.078 v5 s2 t=2128 n9_5A2t_5       A2  t    -- --o | d:ppp
 24   9  2.161 v5 s2 t=2213 n9_5Cs2t_5      C#2 t    -- --o | d:ppp
 25   9  2.244 v5 s2 t=2298 n9_5A2t_6       A2  t    -- --o | d:ppp
 26   9  2.327 v5 s2 t=2383 n9_5Fs1t_9      F#1 t    -- --o | d:ppp
 27   9  2.410 v5 s2 t=2468 n9_5Cs2t_6      C#2 t    -- --o | d:ppp
 28   9  2.493 v5 s2 t=2553 n9_5Fs1t_10     F#1 t    -- --o | d:ppp
 29   9  2.576 v5 s2 t=2638 n9_5Cs2s_3      C#2 s    -- --o | d:ppp
 30   9  2.743 v5 s2 t=2809 n9_5Fs1t_11     F#1 t    -- --o | d:ppp
 31   9  2.826 v5 s2 t=2894 n9_5A2t_7       A2  t    -- --o | d:ppp
 32   9  2.909 v5 s2 t=2979 n9_5Cs2t_7      C#2 t    -- --o | d:ppp
 33   9  2.992 v5 s2 t=3064 n9_5A2t_8       A2  t    -- --o | d:ppp
 34   9  3.075 v5 s2 t=3149 n9_5Fs1t_12     F#1 t    -- --o | d:ppp
 35   9  3.158 v5 s2 t=3234 n9_5Cs2t_8      C#2 t    -- --o | d:ppp
 36   9  3.241 v5 s2 t=3319 n9_5Fs1t_13     F#1 t    -- --o | d:ppp
 37   9  3.324 v5 s2 t=3404 n9_5Cs2s_4      C#2 s    -- --o | d:ppp
 38   9  3.491 v5 s2 t=3575 n9_5Fs1t_14     F#1 t    -- --o | d:ppp
 39   9  3.574 v5 s2 t=3660 n9_5A2t_9       A2  t    -- --o | d:ppp
 40   9  3.657 v5 s2 t=3745 n9_5Cs2t_9      C#2 t    -- --o | d:ppp
 41   9  3.740 v5 s2 t=3830 n9_5A2t_10      A2  t    -- --o | d:ppp
 42   9  3.823 v5 s2 t=3915 n9_5Fs1t_15     F#1 t    -- --o | d:ppp
 43   9  3.906 v5 s2 t=4000 n9_5Cs2t_10     C#2 t    -- --o | d:ppp
 44   9  3.989 v5 s2 t=4085 n9_5Fs1t_16     F#1 t    -- --o | d:ppp
 45   9  4.072 v5 s2 t=4170 n9_5Cs2s_5      C#2 s    -- --o | d:ppp
 46   9  4.239 v5 s2 t=4341 n9_5Fs1t_17     F#1 t    -- --o | d:ppp
 47   9  4.322 v5 s2 t=4426 n9_5A2t_11      A2  t    -- --o | d:ppp
 48   9  4.405 v5 s2 t=4511 n9_5Cs2t_11     C#2 t    -- --o | d:ppp damp:up
meas:10 6/4 ticks:4608
  0  10  0.000 v1 s1 t=0    n10_1Gs5q       G#5 q    tb c-o | d:mf damp:down
  1  10  0.000 v1 s1 t=0    n10_1E6q        E6  q    -- c-o | d:mf
  2  10  0.000 v5 s2 t=0    n10_5C1s        C1  s    -- --o | d:mf
  3  10  0.167 v5 s2 t=171  n10_5Cs2t_0     C#2 t    -- --o | d:ppp
  4  10  0.250 v5 s2 t=256  n10_5Fs1t_0     F#1 t    -- --o | d:ppp
  5  10  0.333 v5 s2 t=341  n10_5Cs2s_0     C#2 s    -- --o | d:ppp
  6  10  0.500 v5 s2 t=512  n10_5Fs1t_1     F#1 t    -- --o | d:ppp
  7  10  0.583 v5 s2 t=597  n10_5A2t_0      A2  t    -- --o | d:ppp
  8  10  0.666 v5 s2 t=682  n10_5Cs2t_1     C#2 t    -- --o | d:ppp
  9  10  0.749 v5 s2 t=767  n10_5A2t_1      A2  t    -- --o | d:ppp
 10  10  0.750 v1 s1 t=768  n10_1Gs5t       G#5 t    te --- | 
 11  10  0.832 v5 s2 t=852  n10_5Fs1t_2     F#1 t    -- --o | d:ppp
 12  10  0.833 v1 s1 t=853  n10_1A5e        A5  e    -- --o | d:mp
 13  10  0.915 v5 s2 t=937  n10_5Cs2t_2     C#2 t    -- --o | d:ppp
 14  10  0.998 v5 s2 t=1022 n10_5Fs1t_3     F#1 t    -- --o | d:ppp
 15  10  1.081 v5 s2 t=1107 n10_5Cs2s_1     C#2 s    -- --o | d:ppp
 16  10  1.166 v1 s1 t=1194 n10_1Fs3e       F#3 e    tb --o | d:p
 17  10  1.248 v5 s2 t=1278 n10_5Fs1t_4     F#1 t    -- --o | d:ppp
 18  10  1.331 v5 s2 t=1363 n10_5A2t_2      A2  t    -- --o | d:ppp
 19  10  1.414 v5 s2 t=1448 n10_5Cs2t_3     C#2 t    -- --o | d:ppp
 20  10  1.497 v5 s2 t=1533 n10_5A2t_3      A2  t    -- --o | d:ppp
 21  10  1.500 v1 s1 t=1536 n10_1Fs3w       F#3 w    te --- | 
 22  10  1.580 v5 s2 t=1618 n10_5Fs1t_5     F#1 t    -- --o | d:ppp
 23  10  1.663 v5 s2 t=1703 n10_5Cs2t_4     C#2 t    -- --o | d:ppp
 24  10  1.746 v5 s2 t=1788 n10_5Fs1t_6     F#1 t    -- --o | d:ppp
 25  10  1.829 v5 s2 t=1873 n10_5Cs2s_2     C#2 s    -- --o | d:ppp
 26  10  1.996 v5 s2 t=2044 n10_5Fs1t_7     F#1 t    -- --o | d:ppp
 27  10  2.079 v5 s2 t=2129 n10_5A2t_4      A2  t    -- --o | d:ppp
 28  10  2.162 v5 s2 t=2214 n10_5Cs2t_5     C#2 t    -- --o | d:ppp
 29  10  2.245 v5 s2 t=2299 n10_5A2t_5      A2  t    -- --o | d:ppp
 30  10  2.328 v5 s2 t=2384 n10_5Fs1t_8     F#1 t    -- --o | d:ppp
 31  10  2.411 v5 s2 t=2469 n10_5Cs2t_6     C#2 t    -- --o | d:ppp
 32  10  2.494 v5 s2 t=2554 n10_5Fs1t_9     F#1 t    -- --o | d:ppp
 33  10  2.577 v5 s2 t=2639 n10_5Cs2s_3     C#2 s    -- --o | d:ppp
 34  10  2.744 v5 s2 t=2810 n10_5Fs1t_10    F#1 t    -- --o | d:ppp
 35  10  2.827 v5 s2 t=2895 n10_5A2t_6      A2  t    -- --o | d:ppp
 36  10  2.910 v5 s2 t=2980 n10_5Cs2t_7     C#2 t    -- --o | d:ppp
 37  10  2.993 v5 s2 t=3065 n10_5A2t_7      A2  t    -- --o | d:ppp
 38  10  3.076 v5 s2 t=3150 n10_5Fs1t_11    F#1 t    -- --o | d:ppp
 39  10  3.159 v5 s2 t=3235 n10_5Cs2t_8     C#2 t    -- --o | d:ppp
 40  10  3.242 v5 s2 t=3320 n10_5Fs1t_12    F#1 t    -- --o | d:ppp
 41  10  3.325 v5 s2 t=3405 n10_5Cs2s_4     C#2 s    -- --o | d:ppp
 42  10  3.492 v5 s2 t=3576 n10_5Fs1t_13    F#1 t    -- --o | d:ppp
 43  10  3.575 v5 s2 t=3661 n10_5A2t_8      A2  t    -- --o | d:ppp
 44  10  3.658 v5 s2 t=3746 n10_5Cs2t_9     C#2 t    -- --o | d:ppp
 45  10  3.741 v5 s2 t=3831 re10_5Rq        R   q    -- --- | damp:up
meas:11 6/4 ticks:4608
  0  11  0.000 v1 s1 t=0    re11_1RM        R   M    -- --- | 
  1  11  0.000 v5 s2 t=0    re11_5RM        R   M    -- --- | 
meas:12 6/4 ticks:4608
  0  12  0.000 v1 s1 t=0    re12_1RM        R   M    -- --- | 
  1  12  0.000 v5 s2 t=0    re12_5RM        R   M    -- --- | 
meas:13 6/4 ticks:4608
  0  13  0.000 v1 s1 t=0    re13_1Rh        R   h    -- --- | 
  1  13  0.000 v5 s2 t=0    re13_5Rh_0      R   h    -- --- | 
  2  13  1.500 v1 s1 t=1536 n13_1A4t        A4  t    -- --o | d:p damp:down section:7004
  3  13  1.500 v5 s2 t=1536 re13_5Rq        R   q    -- --- | 
  4  13  1.583 v1 s2 t=1621 n13_1C2t_0      C2  t    -- --o | d:p
  5  13  1.666 v1 s2 t=1706 n13_1Fs2t       F#2 t    -- --o | d:p-
  6  13  1.749 v1 s1 t=1791 n13_1E5e        E5  e    -- --o | d:p-
  7  13  2.082 v1 s1 t=2132 n13_1Gs4s_0     G#4 s    tb --o | d:pp+
  8  13  2.249 v1 s1 t=2303 n13_1Gs4s_1     G#4 s    te --- | 
  9  13  2.250 v5 s2 t=2304 re13_5Rh_1      R   h.   -- --- | 
 10  13  2.416 v1 s1 t=2474 n13_1E5s        E5  s    -- --o | d:pp-
 11  13  2.583 v1 s1 t=2645 n13_1Gs4s_2     G#4 s    -- --o | d:ppp+
 12  13  2.750 v1 s1 t=2816 n13_1A4s_0      A4  s    -- --o | d:ppp+
 13  13  2.917 v1 s1 t=2987 n13_1Gs4t       G#4 t    -- --o | d:ppp
 14  13  3.000 v1 s2 t=3072 n13_1C2t_1      C2  t    -- --o | d:ppp damp:up damp:down
 15  13  3.075 v1 s1 t=3149 n13_1A5t_0      A5  t    -- --o | d:ppp
 16  13  3.150 v1 s1 t=3226 n13_1E6t_0      E6  t    -- --o | d:ppp
 17  13  3.226 v1 s1 t=3303 n13_1A5t_1      A5  t    -- --o | d:ppp
 18  13  3.301 v1 s1 t=3380 n13_1E6t_1      E6  t    tb --o | d:ppp
 19  13  3.376 v1 s1 t=3457 n13_1E6t_2      E6  t    te --- | 
 20  13  3.451 v1 s1 t=3534 n13_1A5t_2      A5  t    -- --o | d:ppp
 21  13  3.526 v1 s1 t=3611 n13_1E6s        E6  s    -- --o | d:ppp
 22  13  3.677 v1 s2 t=3765 n13_1Fs3t_0     F#3 t    -- --o | d:ppp
 23  13  3.752 v1 s2 t=3842 n13_1C2t_2      C2  t    -- --o | d:ppp
